color1,color2,color3,class
#5d3f25,#a5a8ae,#7d7266,apple_pie
#9d717a,#5b271e,#caa3a6,apple_pie
#ccc5b9,#4e2815,#91755a,apple_pie
#d47b52,#ac300b,#f8ce85,apple_pie
#8b7d72,#583b2c,#d3c9b6,apple_pie
#a27643,#1d100c,#d9cab7,apple_pie
#ae8c57,#563314,#e8d8b9,apple_pie
#3c3334,#9f9e99,#746667,apple_pie
#986e29,#65330c,#aaa895,apple_pie
#625a54,#a69c8a,#f5e6d6,apple_pie
#3e1916,#d9c9bf,#956853,apple_pie
#9c6c2f,#231409,#efecd2,apple_pie
#804f2f,#d29870,#38190d,apple_pie
#bd8648,#e5b483,#84471b,apple_pie
#a74c28,#efbb89,#130509,apple_pie
#6e5e51,#bfc1c0,#131511,apple_pie
#8e999e,#847b5b,#46402e,apple_pie
#9e6d4f,#340b21,#723d34,apple_pie
#c7b59f,#a96e29,#844710,apple_pie
#f8f4ed,#ceac89,#925129,apple_pie
#8f8464,#20120f,#b7b9a7,apple_pie
#1e150d,#6d5d41,#ada787,apple_pie
#261d19,#ddbc95,#66483c,apple_pie
#a68153,#292016,#f5e5bb,apple_pie
#4d3436,#a96936,#e2c265,apple_pie
#3f231b,#e6c8ac,#8a5e4b,apple_pie
#ae8558,#784730,#c1a479,apple_pie
#7f431c,#cfc8ad,#a9865b,apple_pie
#e5cdb0,#aa5c3c,#3b1f12,apple_pie
#9a7944,#cddcee,#795329,apple_pie
#b2a588,#25190b,#6b5c39,apple_pie
#4b201a,#f3c152,#d56b1c,apple_pie
#e1e7e6,#926038,#d7b96a,apple_pie
#c5c2ba,#3c2715,#897357,apple_pie
#8d876c,#cdcdb4,#332712,apple_pie
#6c6c67,#9faaad,#26231c,apple_pie
#3b1d0d,#b67b24,#c0bd81,apple_pie
#f6f2e8,#5e4130,#c99359,apple_pie
#b9bdc5,#3d2413,#8e7858,apple_pie
#a34e18,#140d05,#d0bc96,apple_pie
#1f130e,#968b89,#e6dfd1,apple_pie
#4c221e,#8b706c,#dfd9dd,apple_pie
#91755e,#23190d,#999e9d,apple_pie
#989692,#533217,#f5f7f8,apple_pie
#c5cfdd,#322d32,#807c78,apple_pie
#63290f,#e7be9f,#c4902c,apple_pie
#dccfc9,#5a4441,#c08e66,apple_pie
#b68656,#92422d,#cdba95,apple_pie
#8e938d,#563f23,#7b6f56,apple_pie
#7a3818,#dfe1e2,#a08d8e,apple_pie
#68665f,#443c34,#868583,apple_pie
#b7784b,#58321e,#e6c4a1,apple_pie
#dfddd5,#320e11,#bd865f,apple_pie
#966f44,#918d8e,#4c3a27,apple_pie
#d7d2c8,#5c1e1d,#b2553b,apple_pie
#a2a19b,#43372b,#806e59,apple_pie
#b6641d,#e0a235,#69230d,apple_pie
#da9926,#a8290c,#4b4a4a,apple_pie
#744f19,#9c907e,#be993e,apple_pie
#c1815f,#833422,#ebd9c8,apple_pie
#9d603b,#33160e,#e3d1bf,apple_pie
#8f7123,#e1f2da,#1b221d,apple_pie
#947c29,#1d1408,#dcd06e,apple_pie
#372a17,#e4dda9,#816934,apple_pie
#5d5b58,#030100,#332215,apple_pie
#e9d0d5,#130e0b,#7f4d3c,apple_pie
#d2c7b5,#5a402d,#a58f77,apple_pie
#0d1925,#d2b471,#6d6646,apple_pie
#efebe8,#7a4e43,#c8b198,apple_pie
#856642,#c4c6c7,#3c2417,apple_pie
#342519,#e7c88c,#9b5c24,apple_pie
#ceb295,#683317,#af7542,apple_pie
#ddaf7c,#653210,#ae7540,apple_pie
#d0c7b6,#b6824c,#703f1f,apple_pie
#8f6226,#9a835b,#514035,apple_pie
#1c1112,#878264,#5d432b,apple_pie
#b0b0a8,#553d24,#8c725d,apple_pie
#58453b,#cbced2,#cb9853,apple_pie
#503617,#b2b08d,#93865d,apple_pie
#6f614f,#aa9267,#633e12,apple_pie
#494658,#c1b8a4,#9e8c80,apple_pie
#716d61,#d7d9ce,#403726,apple_pie
#a6755e,#441f1c,#c1b4c7,apple_pie
#342321,#e1d0cc,#7a889a,apple_pie
#85806d,#492910,#6f5937,apple_pie
#a9aeac,#92775b,#684624,apple_pie
#cb974e,#dad3bb,#6d421a,apple_pie
#896a64,#442217,#dec4b8,apple_pie
#887f73,#392222,#b8b8b6,apple_pie
#a5a33e,#e8e7a3,#3f2e09,apple_pie
#3d2c1e,#957c5d,#d5c4b2,apple_pie
#a1a47e,#5e5340,#bcd6cd,apple_pie
#846b61,#d0c7c8,#3d2820,apple_pie
#c77a21,#f1e6cc,#522d07,apple_pie
#aca394,#482c1e,#918879,apple_pie
#f3d9a1,#110721,#ad614e,apple_pie
#603610,#3f1706,#200904,apple_pie
#c1b2b7,#681c18,#956b5e,apple_pie
#d3cac4,#622734,#c59e8b,apple_pie
#b0451d,#efdece,#de9e59,apple_pie
#e69a50,#1d0d0a,#a44d24,apple_pie
#aa9389,#633832,#8d665a,apple_pie
#423732,#887452,#b3afa2,apple_pie
#c5962a,#784819,#d3cab1,apple_pie
#99795d,#623a25,#e3d5c3,apple_pie
#723408,#8f5512,#b3771f,apple_pie
#755b2c,#cac9cc,#372414,apple_pie
#a48c56,#deddc3,#633512,apple_pie
#33231b,#b6b6b0,#837351,apple_pie
#e29737,#684624,#d9dfd6,apple_pie
#6e3518,#bf7032,#f1ddcc,apple_pie
#c39c3f,#e0e9cc,#834129,apple_pie
#6c6b56,#221718,#453c32,apple_pie
#af8159,#513527,#e7dfd5,apple_pie
#6b1507,#f1cfa2,#c06b29,apple_pie
#b48046,#f9e591,#7a4723,apple_pie
#dfdac0,#56412f,#a7996f,apple_pie
#b8b4a9,#7d4516,#ae7427,apple_pie
#856036,#e3d6c0,#1d1408,apple_pie
#c2c5c5,#503825,#9f855b,apple_pie
#e9b870,#cb8a4c,#a24711,apple_pie
#a99e8a,#693f26,#c8c1b3,apple_pie
#a96417,#422310,#c3af9e,apple_pie
#a47e4f,#d3d6d2,#523b27,apple_pie
#8b8482,#4a2c39,#ced5be,apple_pie
#b98c56,#e7b971,#8e541d,apple_pie
#c18c46,#553111,#ebd7bb,apple_pie
#9ab9e3,#a0997b,#46404d,apple_pie
#110d21,#8bb2eb,#918d74,apple_pie
#e7cc9a,#372833,#80807a,apple_pie
#724629,#dad4c4,#c7965f,apple_pie
#c18d2d,#931e0c,#c6af9d,apple_pie
#241216,#d0af94,#0655cb,apple_pie
#eba348,#471e07,#ab5d1c,apple_pie
#daccc3,#622d20,#ae7953,apple_pie
#ccbdb1,#8a4859,#241c24,apple_pie
#c2b9ab,#b17d33,#2e0e24,apple_pie
#b2c18a,#201a0d,#6c765d,apple_pie
#5a3b27,#bad4d7,#8b7e72,apple_pie
#906946,#cecfcb,#1e1c17,apple_pie
#959b9d,#8d6543,#c7c4bf,apple_pie
#7d9ca0,#948969,#5c3f2c,apple_pie
#b3a676,#37322e,#d7e0dd,apple_pie
#493c39,#927a6c,#d9c3b0,apple_pie
#371916,#caa986,#b32f22,apple_pie
#aa9794,#234151,#d1d0ea,apple_pie
#12181d,#bda870,#806636,apple_pie
#684a15,#faece0,#c68b45,apple_pie
#b9a797,#784930,#e1e5e3,apple_pie
#1e1608,#927d5b,#524223,apple_pie
#5a424c,#d7bb8c,#0d091d,apple_pie
#8274a4,#894138,#e1b1af,apple_pie
#3d3028,#bec4ca,#867d6c,apple_pie
#924e0c,#cf9031,#2f1a09,apple_pie
#7b5027,#ac885f,#39200d,apple_pie
#c38124,#e1d5a0,#5b210a,apple_pie
#bdad9f,#704331,#d9d6d5,apple_pie
#340f0b,#dfd3b9,#c4a152,apple_pie
#a38569,#1d1015,#592529,apple_pie
#d8cbbc,#aa9c8e,#6f472c,apple_pie
#52573c,#25210e,#7d866a,apple_pie
#4f2e20,#b5ad9e,#8c6f4d,apple_pie
#d2c2b1,#ae8461,#5a3524,apple_pie
#ac975d,#ceceb6,#6b4f25,apple_pie
#d0cfc7,#302a2e,#7e756e,apple_pie
#deb05b,#4e311e,#e2dfca,apple_pie
#99906d,#b4b7b7,#654f2e,apple_pie
#38152c,#fbe279,#d5793f,apple_pie
#c4a8c2,#662f1f,#9d7983,apple_pie
#604226,#9ba3aa,#847254,apple_pie
#c0bbb1,#13100f,#696261,apple_pie
#7e7e86,#302d0c,#57633e,apple_pie
#7f6434,#a29f73,#b7c8c9,apple_pie
#c9a209,#714a11,#dcbc47,apple_pie
#8b8c7d,#d5ddd5,#49382c,apple_pie
#2d0a09,#832b17,#cf845f,apple_pie
#6b2713,#c6b2a2,#a0683e,apple_pie
#562c17,#ced1b8,#997640,apple_pie
#3f2b20,#d5c8b5,#846956,apple_pie
#573e34,#bec4c4,#8c7d6b,apple_pie
#b17d35,#e2c187,#713d12,apple_pie
#361313,#7e4338,#e0af8f,apple_pie
#b09b7a,#6e4c43,#2b191a,apple_pie
#9f6a42,#e3cfb8,#1b0b0d,apple_pie
#a2731a,#804607,#471904,apple_pie
#7b432a,#d8c5b0,#22110e,apple_pie
#82695c,#b8b0a9,#393131,apple_pie
#37110a,#716d69,#6f4121,apple_pie
#c2b9ad,#261a12,#a5814a,apple_pie
#c8ab8f,#522414,#a78262,apple_pie
#a88c68,#c2c0bb,#806740,apple_pie
#9d7f4a,#b9ac9a,#644b2b,apple_pie
#937a54,#223d44,#98a8bf,apple_pie
#3e2310,#b0afad,#7b5f3b,apple_pie
#260b09,#724124,#532414,apple_pie
#e2d3a6,#462e1a,#b87c42,apple_pie
#bfb69e,#36370c,#859f10,apple_pie
#e1dfd8,#1b1518,#b67947,apple_pie
#bfa38b,#dacfc8,#937253,apple_pie
#b3c6d9,#42332d,#8a8073,apple_pie
#332a23,#a5a79a,#76674b,apple_pie
#423e25,#a0b1aa,#7c7b57,apple_pie
#7c8759,#e3e4de,#372809,apple_pie
#948470,#c3c7c1,#563b2b,apple_pie
#eee6d9,#7a3213,#cba764,apple_pie
#e5b075,#56575b,#c27136,apple_pie
#a08160,#6a3f29,#c3bcab,apple_pie
#0e090a,#ab7a44,#ebdabb,apple_pie
#5f1813,#ab7152,#170508,apple_pie
#a48965,#564833,#d4dad6,apple_pie
#b38754,#280402,#ece9cd,apple_pie
#a37457,#ddc9b4,#673327,apple_pie
#76281c,#cabeb2,#af7956,apple_pie
#dcd4cf,#7b3a23,#b78b70,apple_pie
#7a5c42,#a49c93,#2e1915,apple_pie
#94764d,#3c210d,#d5dad0,apple_pie
#f2d2ad,#612c17,#bc8650,apple_pie
#bf9a47,#e5cc87,#744318,apple_pie
#ebdebe,#762b0a,#c89239,apple_pie
#5d3226,#d0bda7,#a97953,apple_pie
#4b2e1d,#dfd0c4,#80726b,apple_pie
#4b3125,#8a7b6b,#87a8d5,apple_pie
#d8c99f,#5c450e,#af923c,apple_pie
#994045,#eeb859,#1a092e,apple_pie
#5e5547,#9e9580,#120b04,apple_pie
#421d04,#efaa1f,#925813,apple_pie
#9b9fa3,#754214,#c1c6c5,apple_pie
#bebbb6,#56341f,#a17b54,apple_pie
#c7bfe3,#a78872,#613626,apple_pie
#69594a,#85847d,#7f3c0e,apple_pie
#78372d,#b97c5f,#efe1d3,apple_pie
#dfceac,#612b20,#987251,apple_pie
#eae4d6,#371b1b,#9b8171,apple_pie
#3b2116,#e4d4b8,#7b5f4f,apple_pie
#bbaaa5,#301f16,#987260,apple_pie
#120f0f,#cac9c3,#91684c,apple_pie
#ba7c39,#eae9e3,#6e2919,apple_pie
#917052,#42291c,#d9c2a7,apple_pie
#ded4d7,#d0ae88,#9c704e,apple_pie
#af6c2b,#deae82,#652e12,apple_pie
#acb5a5,#502e35,#847469,apple_pie
#e6cd99,#5d2816,#d17937,apple_pie
#49140b,#b16c39,#823f1e,apple_pie
#835345,#d5a07a,#2b1b24,apple_pie
#c57f10,#f2ce53,#924d06,apple_pie
#4a4550,#d7d5c4,#8a847d,apple_pie
#cbb6bb,#592613,#976958,apple_pie
#b06c23,#441105,#ece4cc,apple_pie
#2e210d,#cecba1,#887b4e,apple_pie
#f1c48c,#6f1025,#d7574a,apple_pie
#e5ddbe,#b86434,#37141e,apple_pie
#e9d1b7,#682918,#c58247,apple_pie
#966c4b,#481f0f,#dbcdc1,apple_pie
#49402f,#cdcbbe,#a38854,apple_pie
#f4df93,#382111,#af7026,apple_pie
#833f1e,#eca472,#cf7940,apple_pie
#bed7ab,#95a464,#626b2b,apple_pie
#120a08,#cabfb1,#836b51,apple_pie
#211a12,#d6d3c8,#867657,apple_pie
#653715,#c7b097,#976633,apple_pie
#d2a116,#6b4609,#efe3a9,apple_pie
#826b55,#b3a49e,#4b321e,apple_pie
#d4b790,#cc7330,#652c1e,apple_pie
#9e9c89,#161005,#986c19,apple_pie
#997550,#462919,#d48534,apple_pie
#a46015,#4e2a0d,#db9719,apple_pie
#e5bb80,#491709,#b96622,apple_pie
#6d331a,#e1c5a9,#a37653,apple_pie
#633c28,#afb3a2,#a06d42,apple_pie
#908c78,#23180e,#756c55,apple_pie
#724c45,#bbb9c2,#a47b65,apple_pie
#c6704f,#eac8ae,#4f2520,apple_pie
#dfcaa9,#76450f,#c2994e,apple_pie
#c58837,#ddc7a7,#8a4716,apple_pie
#e3e1d9,#b49644,#5d5222,apple_pie
#342b23,#d3d2ca,#806d57,apple_pie
#bbb9a0,#9d8e75,#835636,apple_pie
#656229,#969f68,#2a2b0b,apple_pie
#251a10,#a87c4a,#ecd3b2,apple_pie
#100808,#c58855,#7c4421,apple_pie
#322320,#967729,#a8b1a8,apple_pie
#654a2a,#af8237,#cdcdc8,apple_pie
#591e11,#ba7542,#dbceb7,apple_pie
#1a160d,#515659,#a4a08c,apple_pie
#7c5b48,#98a8a9,#3e2b2c,apple_pie
#796e4f,#4f0a0b,#b8be9f,apple_pie
#804b1a,#d3cbc4,#5b6a74,apple_pie
#f1f3e4,#854817,#c8a753,apple_pie
#f1bb64,#8d5f18,#2e370a,apple_pie
#d6c6b6,#63341b,#ab7e56,apple_pie
#86766d,#45342c,#bcbabc,apple_pie
#a3662a,#e0c890,#543219,apple_pie
#7a5a3c,#cec2bb,#bb8354,apple_pie
#edd3ad,#230906,#b45e39,apple_pie
#be7413,#532809,#ecc63f,apple_pie
#c2c1b8,#452a0e,#8b6b38,apple_pie
#9d6234,#210e0d,#cdac89,apple_pie
#6a1f1c,#dcd2c5,#b56a52,apple_pie
#1d160c,#dec25a,#996f21,apple_pie
#98928c,#2f211a,#835531,apple_pie
#7f7257,#b3ab96,#2f2c1f,apple_pie
#784624,#afa28f,#c58a3b,apple_pie
#f8e5c5,#c06d2b,#5c2712,apple_pie
#e0b691,#a36741,#522116,apple_pie
#8a6d46,#c0b6a9,#593217,apple_pie
#ae814b,#392318,#dac2a4,apple_pie
#977222,#e9b058,#2b400e,apple_pie
#563714,#bac6ca,#9f8a61,apple_pie
#5a3f2e,#070604,#a2896d,apple_pie
#c98b42,#e8d5bd,#81471c,apple_pie
#ccbba7,#893c2a,#231714,apple_pie
#bc8959,#dcd1c5,#6b361a,apple_pie
#1a2125,#a9d9df,#c5aa5c,apple_pie
#412e19,#82713c,#d6c595,apple_pie
#bb6d14,#f4ac38,#632808,apple_pie
#e1b78a,#b68052,#612d17,apple_pie
#29181a,#d6c4a4,#ad6630,apple_pie
#e2e8cf,#aa9162,#604220,apple_pie
#b38055,#3d2b22,#edb884,apple_pie
#2f0f05,#a4743a,#7e4418,apple_pie
#d5b077,#0d121d,#72654f,apple_pie
#291f14,#954e36,#cdbba4,apple_pie
#49261d,#b4b3b2,#8f5d3f,apple_pie
#e4cfb6,#3b251c,#b06949,apple_pie
#c1c5d0,#150b09,#836056,apple_pie
#b2beb3,#4e2a17,#686350,apple_pie
#be7538,#dba167,#5f301d,apple_pie
#ecc381,#2d1c1a,#b5702c,apple_pie
#ebac6f,#6b2205,#b64e15,apple_pie
#f4e7c9,#e07d66,#721c5a,apple_pie
#adb7bc,#2c241d,#7a766b,apple_pie
#35261f,#d7be95,#987c59,apple_pie
#a29382,#bcdada,#793932,apple_pie
#907960,#ccc5c0,#5d3e27,apple_pie
#a79885,#56372d,#d8cebd,apple_pie
#0d1325,#96614c,#503234,apple_pie
#9b4023,#d5a670,#d07032,apple_pie
#261913,#ddba9d,#946a4d,apple_pie
#b0b9bd,#7b776b,#40301e,apple_pie
#d6be98,#3a2914,#8c6b3d,apple_pie
#422914,#f9daa7,#e4b453,apple_pie
#d4ba94,#f6f9f5,#8b6c56,apple_pie
#3c2b25,#e2dabd,#97653b,apple_pie
#be8f65,#ede8e2,#69351d,apple_pie
#dbd7d2,#a3683e,#512f23,apple_pie
#1f2715,#659a4c,#d9f0de,apple_pie
#11090a,#482116,#83644b,apple_pie
#492825,#e6e0d4,#997653,apple_pie
#d29963,#a85525,#e8ae76,apple_pie
#ba9764,#643e1f,#ddd8ce,apple_pie
#676569,#bcc2b5,#372624,apple_pie
#b8bcb7,#623c2d,#927658,apple_pie
#4b3428,#e3ebea,#9d8665,apple_pie
#8a816e,#3a2d19,#b4b4b2,apple_pie
#c0b481,#513323,#8f7247,apple_pie
#cdd5d3,#382c22,#8d7854,apple_pie
#442411,#e1bc9b,#995c1e,apple_pie
#c8cfc8,#473424,#878062,apple_pie
#ece7e1,#753625,#cc906a,apple_pie
#4b2a15,#d7d5c8,#9c6629,apple_pie
#462d25,#d3c7ba,#91654c,apple_pie
#ae723a,#642b19,#e2dac7,apple_pie
#110907,#eae4cd,#a7752f,apple_pie
#855a35,#e4e9e8,#ad9677,apple_pie
#613928,#d1c5b6,#9b7d69,apple_pie
#411c13,#e2cfba,#a87245,apple_pie
#90624d,#352129,#d4b594,apple_pie
#925620,#d3caa2,#251a14,apple_pie
#6f3625,#f3dcc6,#ba7346,apple_pie
#16242d,#ced285,#5a7c4f,apple_pie
#d7cbbf,#b8937a,#7f4e35,apple_pie
#e8eeec,#7b3d0f,#c7b492,apple_pie
#2f170e,#efccaf,#674a34,apple_pie
#6e6857,#b2ab9b,#302f24,apple_pie
#865e3d,#e7a86d,#563120,apple_pie
#ec8d24,#531109,#dadacb,apple_pie
#7c4512,#bb9e6b,#d8e0db,apple_pie
#533b25,#a6aba7,#84755d,apple_pie
#b8784e,#e0bfa1,#60321e,apple_pie
#a39f94,#242123,#635547,apple_pie
#bfc4b5,#806c66,#422835,apple_pie
#9c6e2c,#b2a083,#6a380c,apple_pie
#6c3014,#dfbb7f,#a5713e,apple_pie
#ebb947,#442e26,#ddd6c2,apple_pie
#402817,#dcdfcb,#7d7156,apple_pie
#a2613b,#e5d191,#2c1b2c,apple_pie
#7d5439,#2e150f,#cab39a,apple_pie
#b9aa7e,#321909,#815a2a,apple_pie
#b16b36,#522a0c,#ebab71,apple_pie
#c09b79,#76492d,#f5f4f0,apple_pie
#d29253,#40251b,#f4e6cd,apple_pie
#e69a50,#190b07,#a44d24,apple_pie
#b7c7df,#291f1d,#987e76,apple_pie
#2a110a,#ba823c,#623631,apple_pie
#584124,#f1d68d,#b98d4f,apple_pie
#e0d8ba,#51381d,#a78751,apple_pie
#e6b892,#815039,#cb8a5d,apple_pie
#24211f,#717c72,#525446,apple_pie
#775131,#ab9070,#b7b4b0,apple_pie
#6e632e,#d2dbd2,#9d9d78,apple_pie
#ababa4,#2e2e3d,#aa7534,apple_pie
#150f0a,#a76525,#e8aa58,apple_pie
#eed087,#5f2d15,#c77d3b,apple_pie
#632f18,#dad3ca,#bd8456,apple_pie
#807b7a,#17243b,#d0c8b6,apple_pie
#f6ddc5,#7c2e27,#bb8a61,apple_pie
#99763d,#a19793,#573612,apple_pie
#b98c59,#e8e8e4,#7e4725,apple_pie
#bfc6b7,#371712,#577a73,apple_pie
#e7f2db,#d6ad68,#9d201a,apple_pie
#33211e,#d7dddd,#996f4c,apple_pie
#79442b,#e3c7b0,#b18466,apple_pie
#b36f0d,#8a420b,#5b1805,apple_pie
#ec973a,#492b1c,#b95a26,apple_pie
#e3c7ac,#704021,#b88a62,apple_pie
#603f2a,#daecdf,#978169,apple_pie
#dae0e8,#704123,#b69d6b,apple_pie
#97877a,#200e06,#ccc6bb,apple_pie
#7f583c,#bea485,#3e160e,apple_pie
#a78b75,#d7d0c9,#502e20,apple_pie
#a4946c,#6f5c3f,#b2b7be,apple_pie
#87a15f,#4c1509,#47651a,apple_pie
#925e11,#dea911,#391e0b,apple_pie
#d4c1a5,#40180d,#c27d2a,apple_pie
#b1835f,#6f402b,#dec2ad,apple_pie
#ac8a6d,#785131,#ddd2c1,apple_pie
#29211f,#f3be4e,#c38029,apple_pie
#d3c6b0,#2f532d,#989055,apple_pie
#8c7567,#38120f,#68362a,apple_pie
#1d1b1c,#af752f,#784212,apple_pie
#b57e43,#decaac,#75300a,apple_pie
#9b8163,#d7cfc3,#613b24,apple_pie
#96755d,#35211b,#c9bfc6,apple_pie
#e7b52a,#e7e9e6,#8a2c0f,apple_pie
#a89d64,#5c320c,#9d711d,apple_pie
#be9867,#774631,#eae1cc,apple_pie
#1c5b30,#e4beac,#715942,apple_pie
#c38a71,#983e28,#e5ccbd,apple_pie
#463712,#9b8d4d,#babb84,apple_pie
#8c816d,#0e0907,#c7beb7,apple_pie
#a98255,#d8c9b7,#532f1a,apple_pie
#8f6641,#dad2be,#2e2924,apple_pie
#3f2614,#ced9d7,#907744,apple_pie
#ac6d33,#5b2f17,#e1e4ef,apple_pie
#c09a62,#decca2,#6e4932,apple_pie
#986f52,#522d1f,#c7b09b,apple_pie
#563c15,#d4c185,#9c7625,apple_pie
#d18a37,#8e4613,#ead0ab,apple_pie
#e5c09b,#b57d51,#642f1b,apple_pie
#3c211b,#ead8bc,#b79152,apple_pie
#8c8f9c,#736c64,#352f2a,apple_pie
#9d7e53,#cac5b2,#5a4038,apple_pie
#9b7b4f,#c9c3b0,#543b37,apple_pie
#b5c7c7,#665f53,#c6a266,apple_pie
#a16a46,#e3c4ac,#5a2a1d,apple_pie
#4a2c25,#efe2d7,#be8a53,apple_pie
#c6cbd7,#633c2e,#888ca6,apple_pie
#633a26,#f3f0ea,#a8805e,apple_pie
#997f47,#d5d9d8,#65543d,apple_pie
