color1,color2,color3,color4,color5,class
11841490,1256043,2839713,13815785,6257332,apple_pie
527381,5144219,10595248,15331825,1129838,apple_pie
474001,5090016,200226,1273801,9295862,apple_pie
1672917,13759222,1264763,5749988,3767199,apple_pie
11063521,4219529,15593965,4753347,2634313,apple_pie
1252394,13619665,4019836,1519196,10396070,apple_pie
10794709,2301495,5333382,3488351,7241895,apple_pie
12508921,1259157,8497625,2781386,395805,apple_pie
8884110,2782376,7042678,12433321,1914707,apple_pie
4617095,10721685,1464707,8161418,3689304,apple_pie
6251621,8357760,13428124,3495982,3298438,apple_pie
3431558,8161181,12567503,6583434,1716553,apple_pie
13953525,7113128,3429270,5673443,12243167,apple_pie
3436475,11261431,2112332,1524119,6599909,apple_pie
1532066,9293540,268077,537713,4102347,apple_pie
6342899,859191,3175380,1785481,12182773,apple_pie
1245985,5401990,12242392,3947348,7840951,apple_pie
2841784,4553940,2637953,6069740,11259882,apple_pie
5863309,9072728,4538436,12366758,1906202,apple_pie
8234940,593950,3369360,7179932,993366,apple_pie
398648,7578575,3430548,1257319,14803939,apple_pie
13748927,7697541,462106,10591139,2183535,apple_pie
2630441,12505565,4817320,2114181,8760514,apple_pie
2253468,11514286,2900050,6979470,740237,apple_pie
14349801,1515556,2975889,15718027,5887206,apple_pie
9202053,395542,13421280,3307498,1713259,apple_pie
1255006,13951200,5665414,1051401,9744834,apple_pie
13299670,1791372,4442856,9680564,3153946,apple_pie
263684,7973820,1721686,11591656,4619666,apple_pie
930999,7179983,667501,2714291,1525647,apple_pie
3175087,9747936,67378,7314884,535661,apple_pie
5406615,14083807,2500899,4150884,9811116,apple_pie
3379671,15002866,791095,9288411,3098510,apple_pie
14343899,1006472,10006449,5338503,3315383,apple_pie
9487072,3154291,4094682,7705786,5660814,apple_pie
9480381,1583690,3430011,13293793,6324125,apple_pie
2574707,5600158,1584199,5723719,659999,apple_pie
9079692,131842,2768717,13743519,5793392,apple_pie
5664399,14673392,10006733,1254477,3098224,apple_pie
2910640,11978974,933255,924463,8692931,apple_pie
7242403,3091531,10858172,4609920,13424612,apple_pie
2641002,12700104,2257564,7834514,1581621,apple_pie
10466506,3564697,14410212,6918069,1455467,apple_pie
1263473,594210,3040907,598600,4620711,apple_pie
3294819,8957122,1579299,6387341,13032679,apple_pie
8498335,2703565,10409940,4278890,5023478,apple_pie
3125194,1254711,12314342,2716298,8766926,apple_pie
6786487,10140640,1522044,3828133,8693712,apple_pie
13030359,924998,4750766,9086907,2444162,apple_pie
15391710,2045552,5142190,14981977,10071752,apple_pie
9805209,5533558,7439237,14993564,2771799,apple_pie
1645090,15591387,5069942,2175316,10525855,apple_pie
4346224,12236724,14734533,6847378,9738915,apple_pie
6321028,395033,13822700,7972289,3491935,apple_pie
8170428,862299,10800594,4298172,2777746,apple_pie
726566,3260138,1394543,1340334,8895704,apple_pie
1331586,9549013,1123908,1276858,3458030,apple_pie
5927037,11120556,1580321,9278867,4081228,apple_pie
2383733,12443874,791057,8225383,5943235,apple_pie
5665691,2705536,12768742,8757949,1188178,apple_pie
11580336,1913939,8817291,1185304,4480630,apple_pie
14011103,5858172,8815511,2505056,11182255,apple_pie
2765115,8821930,4942476,13028558,6840662,apple_pie
7964051,263687,985915,10003120,3559269,apple_pie
13883864,2908583,1584476,7185613,11117972,apple_pie
6137551,1653093,395026,12701396,3701935,apple_pie
10384760,2640526,1707286,7249878,13619426,apple_pie
9081487,2699803,3962439,12093477,14336666,apple_pie
11775143,3296362,8290948,1322317,5662585,apple_pie
8356008,1057625,15200503,10525381,6374004,apple_pie
6519701,14672870,857136,2245231,10859710,apple_pie
6192333,669122,8769528,729729,1601263,apple_pie
8821417,3628163,13294562,7827055,2370889,apple_pie
4684710,724503,14147556,2118791,7445436,apple_pie
8892618,1853809,5080745,13231346,925243,apple_pie
3223351,8552838,6644852,11516089,4868955,apple_pie
2586274,10334898,343677,6711667,1448488,apple_pie
10267826,4212040,14149622,8295328,6778491,apple_pie
1380652,9154255,14735838,1913458,6581132,apple_pie
8169650,15268603,461843,1853814,2522817,apple_pie
5668275,396840,8432102,1781848,3166596,apple_pie
5016512,11719920,1061228,2843809,7448800,apple_pie
3566022,590862,8961007,1714562,15137533,apple_pie
987662,9607069,14079439,6056316,3556179,apple_pie
3953237,9670530,5667977,11249313,1846582,apple_pie
3489649,1967400,6324389,4217237,2497102,apple_pie
1596827,8232379,14737887,800369,3241391,apple_pie
12506855,4619454,1718903,9350087,16382973,apple_pie
9803914,921631,8433594,4746882,12239036,apple_pie
8751755,725530,6334137,3889000,12372937,apple_pie
10536677,1645861,1916547,7182526,5327434,apple_pie
7122137,527118,13759226,2570826,5009036,apple_pie
2708128,8313330,3841231,3617349,7109264,apple_pie
1580597,10072790,3096690,6189973,12442868,apple_pie
7183037,3890573,5669805,8892101,2305629,apple_pie
1789584,12045776,8629700,1846621,5406113,apple_pie
1055533,10272217,2637970,12836079,5340096,apple_pie
3499659,16180437,2312046,4883106,12956584,apple_pie
13230567,529180,2245204,5864071,8823472,apple_pie
861040,1929692,461083,5753334,7296600,apple_pie
2569094,15658726,6995677,4422556,13620694,apple_pie
2178140,13029587,9673890,659993,5271432,apple_pie
2719394,9942714,1188654,14411748,8160129,apple_pie
1251097,6975342,12763317,9999756,3818828,apple_pie
9162194,1460630,6854811,1415651,594981,apple_pie
11981797,3694235,16252155,3094079,5742292,apple_pie
8032415,13221818,660777,2706023,5009802,apple_pie
995191,6921402,264973,1136832,11849693,apple_pie
526866,8684944,14413042,2899288,11448504,apple_pie
2962010,15000038,5004678,1250624,10129565,apple_pie
6849967,660764,10723737,3953002,7832198,apple_pie
16382457,2312041,7503754,12564399,332082,apple_pie
7305600,2367525,16050140,5064779,11183007,apple_pie
7510998,2383768,465231,2271963,12637679,apple_pie
13752548,3487562,4432116,6252677,11119805,apple_pie
2241139,5801393,12568521,3560106,7909326,apple_pie
6321535,1586768,8686471,4152429,11251366,apple_pie
1581142,11510452,15526887,7766162,1264282,apple_pie
6252393,7895675,1910838,9211536,4541007,apple_pie
8496332,1582663,12508147,4357331,3429765,apple_pie
6261173,1117729,15067622,791184,11190737,apple_pie
10853790,2108732,4683428,7961986,3298155,apple_pie
13161175,2040180,3161769,1776191,5076927,apple_pie
7050422,2633786,10986651,4020596,7566191,apple_pie
596831,2333406,1929153,1918612,5156323,apple_pie
2532837,1079239,4078655,858276,7444908,apple_pie
13162717,2323610,1127771,4891848,7767956,apple_pie
10073820,3493789,1186923,6127810,14412018,apple_pie
5668273,13097193,856620,2442888,10729680,apple_pie
2765609,14546662,1208214,1053712,10260080,apple_pie
1987947,4830410,462355,9825263,2786975,apple_pie
12117482,2114135,3567496,1319467,6402242,apple_pie
6514020,1,2108990,4672592,660775,apple_pie
2173511,14932974,395272,8031947,4083847,apple_pie
4546427,9678272,1845569,7637921,12964312,apple_pie
4811637,2166275,11069682,6004673,3686967,apple_pie
2899295,15856114,9218241,12439518,6121113,apple_pie
2312307,13947856,5403787,11382701,1318191,apple_pie
1515048,6070732,1917817,2189743,11526389,apple_pie
1388130,5998006,2909349,13948630,8957134,apple_pie
598606,8829156,3830186,1655935,6461130,apple_pie
3632549,14671833,6263748,1585503,10598858,apple_pie
6654108,1462144,3567766,1056564,5197910,apple_pie
3567499,1117720,8033945,2241616,6122089,apple_pie
13815754,5006985,8358800,1980497,10529966,apple_pie
14671067,2370879,9270883,5809369,3234187,apple_pie
7115933,400436,1917532,9417396,4353154,apple_pie
2053756,5077400,930390,7642801,6053471,apple_pie
9741750,5521733,11322567,7112094,9535098,apple_pie
3622992,14740456,5728109,1122861,9014153,apple_pie
5336996,14401733,1512497,10000311,2634855,apple_pie
15395309,1382957,10652017,4407112,10858704,apple_pie
2377571,7439239,795459,5073015,14542310,apple_pie
4286612,11841957,7108983,1982047,7968187,apple_pie
532808,9877703,3172504,14609385,5284570,apple_pie
8288912,2241373,724519,12569314,4610435,apple_pie
1839380,9544105,2567506,13157309,7304831,apple_pie
5486008,468535,13498359,2591885,8575966,apple_pie
5729406,12372954,2833998,7378870,988970,apple_pie
14147525,5403268,3160630,11582629,7775657,apple_pie
10987702,1580850,3752795,6713740,14737636,apple_pie
9160931,337206,15397879,2131920,739745,apple_pie
1055799,9412520,7964817,13358551,3688549,apple_pie
1901061,10738676,6260180,4673946,3218241,apple_pie
198942,535380,398651,10798555,1457771,apple_pie
1777786,14212327,6319510,11775421,1316665,apple_pie
12962771,4275572,7304371,2428237,9808843,apple_pie
6071008,14543092,1322909,12243176,2777798,apple_pie
5084127,592922,1981321,5810674,2974658,apple_pie
6516369,8358304,2764630,4279163,9411250,apple_pie
3420718,6062742,4810619,10990517,3096672,apple_pie
1876432,2122910,12900313,8234688,1257296,apple_pie
2835824,8298692,5598601,14674414,1648975,apple_pie
1201550,1730724,672124,336484,2328000,apple_pie
1120033,4156288,13618382,1720160,2644341,apple_pie
13165540,1121583,4030883,1196155,9875376,apple_pie
1580847,10989489,4871521,14406858,5344160,apple_pie
14738393,1321030,3185130,3435673,9157335,apple_pie
2646703,13491954,1588610,4096465,1517131,apple_pie
4105414,14481129,3219006,2644131,10471627,apple_pie
4675934,1974832,3292229,6124659,1314585,apple_pie
1185576,14673643,5010852,3426411,8628430,apple_pie
9688055,397154,6725078,1464758,13295351,apple_pie
3504315,10941436,1785204,5008780,6339819,apple_pie
2766409,8829395,5077399,10659696,15462119,apple_pie
1192540,4230069,1927851,1592715,11647419,apple_pie
396557,14084080,4222094,1259101,9153984,apple_pie
5082287,14211279,1516343,4414579,11316401,apple_pie
7715561,4232670,1727416,6916020,536966,apple_pie
10531256,1977163,12438225,3036554,8295069,apple_pie
793140,7899035,683458,11847386,1458804,apple_pie
2768754,11648702,5276584,2571040,14343384,apple_pie
8355462,13100512,2759481,5326949,11253937,apple_pie
2976159,1130107,7978988,6918329,4432086,apple_pie
5940441,598338,3833524,12835564,2314874,apple_pie
15245430,6258058,9546670,15127485,5060409,apple_pie
5800075,9478817,16036742,1509128,10046791,apple_pie
10671341,2429212,4736340,5669807,9800049,apple_pie
6395849,9621230,1583179,14472139,4090010,apple_pie
1792412,5285329,2067137,527508,11186370,apple_pie
984329,7377603,13325574,12900067,3031424,apple_pie
8050167,931188,200742,3707366,1991346,apple_pie
2119338,8292253,2173274,13292512,3374285,apple_pie
1380378,11583701,9860172,4799811,4930730,apple_pie
1866164,13620688,7639471,2362926,10925760,apple_pie
397589,8103318,9885639,2768202,6124392,apple_pie
1845568,11645090,15723723,7503239,3494005,apple_pie
14671836,1448476,5868205,12173247,3690872,apple_pie
4617127,12963282,9802380,11710637,4019308,apple_pie
10130283,3822447,6982550,10726573,2241103,apple_pie
13094596,2500393,15658982,4675689,7909305,apple_pie
2238008,9150910,5724256,13425643,6781076,apple_pie
2718669,4212062,2103985,9547722,922163,apple_pie
10921139,1840928,7624727,15783124,6056584,apple_pie
1840655,4158091,6395307,2312806,8831703,apple_pie
2387877,12375795,1129300,5609425,16580350,apple_pie
15132642,1252940,11385024,6915499,3691910,apple_pie
2706269,266005,5010058,13027787,1255990,apple_pie
7968702,4007473,10147306,1048835,5459308,apple_pie
5467846,5585483,2372750,11237766,12631011,apple_pie
14274760,3362917,7569799,2497826,11382444,apple_pie
674708,528412,3840726,733532,1601975,apple_pie
728114,9937582,3037574,1719138,4685227,apple_pie
11854313,1394579,7255500,1343693,529989,apple_pie
2042198,10202044,15328997,12568013,4546442,apple_pie
329242,13296106,4898018,2441860,9742263,apple_pie
2300499,8494784,1314843,3754345,5928595,apple_pie
10464957,3890564,13293282,8490396,1518419,apple_pie
5928558,1717302,3888719,332312,7836553,apple_pie
3231601,8429491,5600913,12368566,1515069,apple_pie
10664141,7377337,2108494,13423836,4680856,apple_pie
5677243,2047575,12177872,8822433,3502478,apple_pie
4603980,13555157,1644569,9410201,6581626,apple_pie
1778996,8114931,5285336,2973340,14409434,apple_pie
7060427,4552583,9408656,13286324,2637657,apple_pie
9105148,3879285,4155856,2360855,4633076,apple_pie
8550811,2834558,11967161,16051190,1384272,apple_pie
2110801,13616055,5797254,10394004,3035503,apple_pie
3362685,10198434,921359,13560817,7562069,apple_pie
7501687,1656637,400937,4286041,10060932,apple_pie
5994092,8956322,13420983,4621733,2116715,apple_pie
1095384,1522514,499142,4964061,746137,apple_pie
14608097,6581610,2370099,2840986,10331802,apple_pie
2179233,460831,7312857,1254261,790860,apple_pie
4221859,9872567,1651840,11782879,858184,apple_pie
13428964,1054521,1982062,3700636,9414826,apple_pie
5992076,1449779,13359842,8954810,3885921,apple_pie
4743291,11185579,7701390,14671058,2830408,apple_pie
9488102,1527689,5939403,663623,3045549,apple_pie
986667,7375819,4543377,2698597,11061999,apple_pie
6716562,2565958,4147309,8562620,1052180,apple_pie
4355513,788503,10468306,3493486,12966380,apple_pie
476542,2588330,271453,877464,199981,apple_pie
4875915,12768225,856092,1650542,7903421,apple_pie
8358291,2697521,11383995,5395033,3956640,apple_pie
527145,2312312,1057107,7241875,6446168,apple_pie
4689080,3563391,9020854,921879,14077642,apple_pie
7113646,1847140,9744588,595255,4349842,apple_pie
6458281,14145232,4616330,3296096,10134961,apple_pie
9215662,3499909,12110030,2373709,5146534,apple_pie
14204844,5208727,4275232,11114379,8416093,apple_pie
2576758,10001308,1057340,5073533,12040635,apple_pie
1980262,592675,8037070,2508667,1056332,apple_pie
2248084,7780054,4555452,1846068,11786726,apple_pie
206369,1477529,10795971,252010,1660758,apple_pie
1117456,15067883,2324182,10464697,4540768,apple_pie
8954044,13948895,6455714,11321040,3625846,apple_pie
6978182,10658978,1579816,15651768,4213082,apple_pie
4546929,8754580,2304306,10793133,15660270,apple_pie
4157046,6723224,2308926,12171684,8483683,apple_pie
15395562,2447197,202020,10207418,6196350,apple_pie
10988714,2765380,3565725,13818840,8355193,apple_pie
2911404,12113120,15265779,6532818,332123,apple_pie
5809135,2635359,10731469,3567293,7694678,apple_pie
2174805,11781580,8943739,5739453,3298694,apple_pie
394504,7252430,12902381,3160661,2647980,apple_pie
459791,2174846,723769,5600686,1185118,apple_pie
6395835,8554124,14212309,2370604,4088705,apple_pie
66084,8500176,13823470,4817845,2375021,apple_pie
3294846,13557225,1909071,5731490,9153226,apple_pie
12108235,2636691,5410504,7960471,1186391,apple_pie
5863594,13817564,1121110,2902415,9348040,apple_pie
2572388,11581371,1249313,5007235,8489877,apple_pie
596786,11320766,2444403,15002339,5734813,apple_pie
11917300,923712,4356015,1849976,7645658,apple_pie
4694468,1192804,9689326,7715286,2649498,apple_pie
799882,7191774,2654142,13559277,264758,apple_pie
12045276,3494278,9940931,5800368,2107471,apple_pie
14213608,1253950,7828082,3755888,8231101,apple_pie
6188154,2107974,12552294,15974803,8295336,apple_pie
736338,12769247,2455960,8502481,4759226,apple_pie
3938897,5472982,6083063,4538012,2753546,apple_pie
2181747,264721,12885620,5855314,4622778,apple_pie
304886,604267,9162980,202293,1731754,apple_pie
13093059,1136023,11117469,1187907,7505552,apple_pie
12436164,1715533,5344709,10264998,4087940,apple_pie
5268617,14396594,7901358,1648468,15587554,apple_pie
8356738,867199,4673627,5203837,14010027,apple_pie
6841737,14345713,2371443,7642581,4221376,apple_pie
1777752,9156046,3098999,5863838,13033708,apple_pie
14740977,1184041,7175576,3356509,11058120,apple_pie
1846095,5003892,14217976,1053987,9021638,apple_pie
7110565,1120550,9807561,4346231,14597271,apple_pie
11712953,920846,3362684,13752023,6455201,apple_pie
660818,15133675,2450859,5938380,2109304,apple_pie
8298942,1317677,12835050,2966887,5534097,apple_pie
8893142,14670305,4416400,12042707,6917558,apple_pie
10074850,2912177,991308,5477845,1723280,apple_pie
8884365,10991792,6839904,2902412,3940915,apple_pie
2118842,9423075,1385811,4953565,12707052,apple_pie
461362,1849981,4421822,1056350,2709659,apple_pie
3091788,9155555,4609157,2102559,6390464,apple_pie
3065070,615082,7001076,276857,1214156,apple_pie
10071218,6314843,7962502,4733505,14675951,apple_pie
10329788,2769789,5859734,15063263,727624,apple_pie
14675955,667780,8041423,198693,1863863,apple_pie
11918558,1918041,5208967,463644,8104368,apple_pie
3556779,9357042,2296935,5124336,5472472,apple_pie
2242722,14672869,5082564,10476520,1970472,apple_pie
2639500,8498908,4293063,12572395,1055575,apple_pie
13687524,1519974,4614034,7902133,660016,apple_pie
3173262,13554640,6399433,8947840,2697770,apple_pie
4175851,1850216,13169144,2518446,791843,apple_pie
4488660,1585002,2842028,6461932,10338282,apple_pie
8298116,2592143,11721150,5358271,3039057,apple_pie
5665159,460297,12964313,1912401,10070713,apple_pie
14673897,2111045,9742513,724753,4942716,apple_pie
4354977,1257049,9349570,2118279,14873079,apple_pie
11592687,809090,2210277,336186,954308,apple_pie
12039615,5663103,1253426,8359843,2901862,apple_pie
1384281,4098784,2118059,10537961,8877145,apple_pie
9345432,265232,1198445,1603755,4370648,apple_pie
2322111,1582658,4100832,4746641,7770543,apple_pie
683982,664136,2401517,1990281,2677644,apple_pie
395543,6920132,1467586,9359864,795241,apple_pie
7442876,4943515,2443137,11455204,1123163,apple_pie
3561093,8624537,1977680,11320246,4486317,apple_pie
5729652,725270,2178651,7373960,9478823,apple_pie
3821753,13943225,6450041,7901625,3159649,apple_pie
2574488,8298201,5140172,13032429,2169650,apple_pie
11324897,2718121,4567781,602209,8298681,apple_pie
3707603,11259363,1126771,7703715,1993134,apple_pie
2181448,6858454,14935779,3370659,2404735,apple_pie
13884380,4345428,8359312,1711653,1659560,apple_pie
10599099,7373964,2901879,4945054,8559269,apple_pie
7119770,1656131,350067,400667,4486767,apple_pie
4290211,791837,12706294,2900573,6854853,apple_pie
1122120,460298,7051989,2313092,4224693,apple_pie
2526380,6642521,11385007,1381923,1657970,apple_pie
1587029,7837866,1800886,13620179,4481139,apple_pie
1326483,13427432,1510696,4751042,9810120,apple_pie
7765115,462611,9677487,6182479,2832441,apple_pie
12304045,3954305,2894138,10328972,8418660,apple_pie
3627112,526896,10995391,788079,7047053,apple_pie
6653856,11243904,6312509,13424610,1264003,apple_pie
10013392,1729700,15858167,4301001,1521521,apple_pie
1527178,7324664,4102617,1480582,669735,apple_pie
6326193,13490660,1122377,2971276,10597833,apple_pie
13946313,4937062,7371658,2436157,9673638,apple_pie
3960460,10935280,1716299,6990022,409769,apple_pie
4744819,12567759,1586565,4027835,8493752,apple_pie
12312307,1252254,8499672,329761,4816570,apple_pie
2605548,739471,1540554,597050,7788014,apple_pie
12831434,663616,5671849,2184040,11384761,apple_pie
1587321,9285583,854808,2845880,5469593,apple_pie
2832270,14739692,11123660,5599419,1117771,apple_pie
8625055,725783,1791357,2530506,6870767,apple_pie
10130832,2311281,4088721,1645862,6654893,apple_pie
10794427,3953765,8363174,1515809,6257284,apple_pie
4758223,1520485,10136760,6188159,1793444,apple_pie
13955323,2518723,923184,1589394,7054305,apple_pie
5668536,11590139,1120836,9417693,3100814,apple_pie
5859954,14412016,2977701,1519961,10398902,apple_pie
12111843,2841999,5672377,1515054,9023694,apple_pie
4365792,934183,12120054,2446477,1287312,apple_pie
6269895,936568,8482157,13944502,1646378,apple_pie
131844,5862802,3229285,1646379,7836587,apple_pie
1324913,4298458,6522275,2714025,12901099,apple_pie
1316640,8624558,1647487,12834531,3889554,apple_pie
14211546,3236507,5867963,990024,9024221,apple_pie
14929281,1774605,5421797,5793891,13561584,apple_pie
1383983,4553094,12574955,2446698,7056324,apple_pie
3452407,533597,1935835,9428988,1071523,apple_pie
7642832,1254743,5604539,10670837,3893152,apple_pie
1256806,10931684,9923149,1313550,3371193,apple_pie
2514053,13888485,2171174,5083327,9348769,apple_pie
3293017,9421811,6658776,5338528,1251106,apple_pie
2908562,331309,930930,10081264,4094635,apple_pie
5930909,1707786,4673616,8964074,7185612,apple_pie
4088461,15722464,2369423,7511233,1252899,apple_pie
1711931,9869989,4679834,2440046,14933197,apple_pie
13098736,3425931,1646897,5405118,11125722,apple_pie
3556715,5923976,10130336,461074,15590102,apple_pie
924987,13357248,9873056,1847897,5005155,apple_pie
2512036,6726108,1911631,4293063,13688812,apple_pie
4830960,2581416,1644839,11786485,8169682,apple_pie
405128,10404086,1396154,268370,4231131,apple_pie
12969716,5198047,6102376,9090529,16317950,apple_pie
1185823,9278354,6121839,3160388,13156787,apple_pie
7711688,3821160,1645865,6324121,10995935,apple_pie
14737084,4022182,9404796,2957648,10334903,apple_pie
13685464,3758199,1780296,6651027,10595253,apple_pie
1976652,10728898,13359843,8295589,5594481,apple_pie
4874133,3089975,2363914,3751526,6983364,apple_pie
2182600,3965144,4026267,8171220,1912449,apple_pie
11981040,724242,5139863,8495305,2570329,apple_pie
5532793,13552063,2506582,9670792,1053463,apple_pie
3235976,6789550,595999,11652838,1914703,apple_pie
11262969,1920894,3773643,1120295,6801908,apple_pie
8897261,16317433,6654129,4607068,12372679,apple_pie
5788240,6928865,2774160,14476257,1975605,apple_pie
2508424,9089746,5537716,15199471,988718,apple_pie
8031638,14146526,1984142,3218710,3566000,apple_pie
858385,15464168,3970397,2376248,8962954,apple_pie
591887,2307164,1120316,4349825,12630458,apple_pie
9547718,2236224,15791346,3430014,6126492,apple_pie
7119063,2249387,7977202,598846,4685766,apple_pie
14343904,5474479,2774658,8235978,1253179,apple_pie
7765116,924723,14152682,11318703,5522506,apple_pie
3229561,13092800,5797777,2566706,10201258,apple_pie
2107453,15987690,6655655,11910592,3821931,apple_pie
10462372,3229787,794407,7242122,13487051,apple_pie
8493217,2240847,4156043,10404042,6011855,apple_pie
1316382,15067361,3492699,5800344,12501430,apple_pie
1129072,10732004,4097981,1186088,1661081,apple_pie
5395542,9737616,3704480,1189952,13555407,apple_pie
15265261,3296928,10599131,1910100,6130636,apple_pie
2781869,1330570,13885407,1451330,7636366,apple_pie
11517128,3029597,14017003,1382693,5533337,apple_pie
2178433,7379640,3044022,14938355,1186369,apple_pie
2181750,9943750,197640,15726584,3447505,apple_pie
2379653,15396070,9743032,8020815,4948399,apple_pie
1976139,7044250,3625083,10268867,14015713,apple_pie
7972818,988211,2771332,13556711,4881070,apple_pie
3751783,12572391,2431269,7773124,5269656,apple_pie
11654617,1644051,2252445,732510,7579839,apple_pie
9680093,13755384,3230345,1383757,4617919,apple_pie
6860966,3682075,9362650,721925,4943946,apple_pie
6257830,14346220,2901110,12174288,9151171,apple_pie
9284544,15856105,732259,1729451,12768990,apple_pie
4216953,725287,14546171,8430303,2176079,apple_pie
5793901,13555418,857364,3490115,8295067,apple_pie
5741025,3363192,1779788,8764404,5338270,apple_pie
3520762,131619,14014934,1466588,991104,apple_pie
7315900,799850,12112602,2057626,16050646,apple_pie
9739417,3493736,11974832,6322310,1056567,apple_pie
2640266,11258084,920852,7510222,4485299,apple_pie
4346210,10134953,1710105,7832201,3092020,apple_pie
4737897,11385784,3153719,8291468,13951707,apple_pie
1929385,4352386,9546941,7903403,669290,apple_pie
924230,7643077,1720452,8770807,4158117,apple_pie
5756662,2435128,4041449,13161947,3368617,apple_pie
924468,15529457,9089201,3032925,5927548,apple_pie
2823193,12443618,4752061,3227520,7589098,apple_pie
1977943,7377329,14148332,658721,4021124,apple_pie
5079451,397851,2249341,9616325,992853,apple_pie
4684996,267824,7647214,1194089,2645409,apple_pie
2110041,16382714,7245750,3826066,10600410,apple_pie
1251105,8568551,4622545,14741497,2968199,apple_pie
5810674,395800,1915785,2909122,5084127,apple_pie
15191225,1250847,8164030,5198434,10126459,apple_pie
659239,5782111,1388124,7640768,1471669,apple_pie
6599390,991012,3035761,10873080,4949167,apple_pie
13165287,4091023,661544,2310493,6660283,apple_pie
10404588,4881090,3689594,7447010,9410988,apple_pie
8620671,1513754,4872791,2895411,7042923,apple_pie
9151155,1848927,12040120,6719911,3891076,apple_pie
11258307,2185317,15591389,5472389,8298913,apple_pie
3680038,11129312,10913650,4953539,2447762,apple_pie
263173,7256559,1452093,3246290,2317465,apple_pie
2050194,6534629,3833033,1122371,10609652,apple_pie
12174028,2445207,14344934,6196421,1252414,apple_pie
3678484,10007754,14213340,6511193,9211022,apple_pie
13361913,2370398,8300753,2434734,5075622,apple_pie
863564,9275792,2579585,11909315,5278636,apple_pie
10988722,2176608,15396332,3170208,5483228,apple_pie
7436362,12507111,856109,10857099,3556462,apple_pie
14875117,2104166,1255134,6138327,12243919,apple_pie
1908008,9740463,16118245,2703469,4486051,apple_pie
3824277,10861786,6981811,1053994,12637935,apple_pie
738956,812968,468084,199468,883139,apple_pie
1648449,2585821,4632822,1722543,5598603,apple_pie
10468828,1651809,7050178,12506861,4088981,apple_pie
6190474,3493234,14806747,8033193,1846345,apple_pie
15393243,1913184,3766434,7648716,10194581,apple_pie
12503503,663107,4285061,197643,9541536,apple_pie
4021117,1253461,10405351,658467,7638950,apple_pie
7440034,13949147,1382961,10794951,3230330,apple_pie
15322808,3438484,7378082,11185328,4805214,apple_pie
1730114,5939076,462649,12042431,928887,apple_pie
1272223,903155,660778,1347788,935541,apple_pie
8429494,12967405,395558,2131411,1787528,apple_pie
2388155,12570598,1978721,8166597,5793418,apple_pie
8954042,3561854,13359842,5864099,1980256,apple_pie
988447,2925802,3370402,6933492,3354165,apple_pie
5410165,10467008,2904364,15725555,4820946,apple_pie
